Brand,Model,Heel Drop (mm),Stack Height (mm),Midsole Firmness (Shore A),Weight (g),Carbon Plate,Rocker Type,Support/Stability,Category,Image,AffiliateLink
Adidas,Adizero Adios Pro 4,6,39,11,200,Yes,High,Neutral,Racing,adiospro4.jpg,https://www.sportsshoes.com/product/adi17824/adidas-adizero-adios-pro-4-men's-running-shoes---aw25
Adidas,Adizero EVO SL,6.5,38.7,21.3,224,No,Moderate,Neutral,Tempo,evosl.png,https://www.sportsshoes.com/product/adi17446/adidas-adizero-evo-sl-men's-running-shoes---ss26
Adidas,Adizero Duramo SL2,9,33,20.1,291,No,Flat,Neutral,Tempo,duramosl2.jpg,https://www.sportsshoes.com/product/adi18296/adidas-duramo-sl-2-men's-running-shoes---ss26
ASICS,Dynablast 5,8,31,20.1,260,No,Moderate,Neutral,Daily Trainer,dynablast5.jpg,https://www.sportsshoes.com/product/asi15812/asics-dynablast-5-men's-running-shoes---aw25
ASICS,Magic Speed 4,8,43.5,14.9,242,Yes,High,Neutral,Racing,magicspeed4.jpg,https://www.sportsshoes.com/product/asi15849/asics-magic-speed-4-men's-running-shoes---aw25
New Balance,FuelCell Rebel v5,6,33,11.5,227,No,Flat,Neutral,Tempo,rebelv5.jpg,https://www.sportsshoes.com/product/new696033/new-balance-fuelcell-rebel-v5-men's-running-shoes---aw25
Nike,Alphafly 3,8,38,18.1,218,Yes,High,Neutral,Racing,alphafly3.jpg,https://www.sportsshoes.com/product/nik23903/nike-air-zoom-alphafly-next%25-3-men's-running-shoes---fa25
Nike,Pegasus 41,10,37,15.8,297,No,Flat,Neutral,Daily Trainer,pegasus41.jpg,https://www.sportsshoes.com/product/nik23956/nike-air-zoom-pegasus-41-men's-running-shoes
Nike,Pegasus Plus,10,35,12.3,245,No,Flat,Neutral,Daily Trainer,pegasusplus.jpg,https://www.sportsshoes.com/product/nik24514/nike-pegasus-plus-men's-running-shoes---ho25
Nike,Vaporfly 4,6,34,19.9,190,Yes,High,Neutral,Racing,vaporfly4.jpg,https://www.sportsshoes.com/product/nik23919/nike-zoomx-vaporfly-next%25-4-men's-running-shoes---fa25
Nike,Vomero 18,10,46,15,325,No,Moderate,Neutral,Daily Trainer,vomero18.jpg,https://www.sportsshoes.com/product/nik24545/nike-vomero-18-men's-running-shoes---ho25
Nike,Winflo 11,10,37,13.9,325,No,Moderate,Neutral,Daily Trainer,winflo11.jpg,https://www.sportsshoes.com/product/nik24213/nike-air-winflo-11-men's-running-shoes---fa25
Nike,Zoom Fly 6,8,39.5,16.1,265,Yes,High,Neutral,Racing,zoomfly6.jpg,https://www.sportsshoes.com/product/nik24504/nike-zoom-fly-6-men's-running-shoes---sp26
On,Cloudboom Strike,4,39.5,16.9,210,Yes,High,Neutral,Racing,cloudboomstrike.jpg,https://www.sportsshoes.com/product/onr547/on-running-on-cloudboom-strike-men's-running-shoes---aw25
On,Cloudflow 4,8,36,28.3,246,No,Moderate,Neutral,Tempo,cloudflow4.jpg,https://www.sportsshoes.com/product/onr610/on-running-on-cloudflow-4-men's-running-shoes
Nike,Streakfly 2,4,27,16.4,145,Yes,High,Neutral,Racing,streakfly2.jpg,https://www.sportsshoes.com/product/nik24239/nike-zoomx-streakfly-2-running-shoes---fa25
ASICS,Novablast 5,8,41.5,13,255,No,Moderate,Neutral,Daily Trainer,novablast5.jpg,https://www.sportsshoes.com/product/asi15810/asics-novablast-5-men's-running-shoes---aw25
Asics,Metaspeed Tokyo Sky,5,39.5,,170,Yes,Moderate,Neutral,Racing,metaspeedtokyosky.jpg,https://www.sportsshoes.com/product/asi15962/asics-metaspeed-sky-tokyo-running-shoes---ss26
Saucony,Endorphin Pro 4,8,39.5,,212,Yes,High,Neutral,Racing,endorphinpro4.jpg,https://www.sportsshoes.com/product/sau5233/saucony-endorphin-pro-4-men's-running-shoes---aw25
Saucony,Endorphin Speed 5,8,36,,237,nylon,Moderate,Neutral,Tempo,endorphinspeed5.jpg,https://www.sportsshoes.com/product/sau5192/saucony-endorphin-speed-5-men's-running-shoes---aw25
Asics,Sonicblast Tokyo,8,38,,256,Nylon,Moderate,Neutral,Tempo,sonicblast.jpg,https://www.sportsshoes.com/product/asi16118/asics-sonicblast-tokyo-men's-running-shoes---aw25
Adidas,Supernova Rise 2,10,36,,275,No,Moderate,Neutral,Daily Trainer,supernovarise2.jpg,https://www.sportsshoes.com/product/adi18478/adidas-supernova-rise-2-men's-running-shoes
Saucony,Ride 18,8,35,,259,No,Flat,Neutral,Daily Trainer,ride18.jpg,https://www.sportsshoes.com/product/sau5205/saucony-ride-18-men's-running-shoes---aw25
Saucony,Endorphin Elite 2,8,39.5,,199,Yes,High,Neutral,Racing,endorphinelite2.jpg,https://www.sportsshoes.com/product/sau5230/saucony-endorphin-elite-2-running-shoes---aw25
Nike ,Structure 26,10,36,,321,No,Flat,Stable,Daily Trainer,structure26.jpg,https://www.sportsshoes.com/product/nik24242/nike-structure-26-men's-running-shoes---fa25
Saucony,Guide 18,6,35,,272,No,Moderate,Stable,Daily Trainer,guide18.jpg,https://www.sportsshoes.com/product/sau5249/saucony-guide-18-men's-running-shoes---ss26
Hoka,Mach 6,5,37,,232,No,Moderate,Neutral,Tempo,mach6.jpg,https://www.sportsshoes.com/product/hok3074/hoka-mach-6-men's-running-shoes---aw25
On,Cloud Monster 2,6,35,,300,Nylon,Moderate,Neutral,Daily Trainer,cloudmonster2.jpg,https://www.sportsshoes.com/product/onr667/on-running-on-cloudmonster-2-men's-running-shoes---aw25
Nike,Vomero Plus,10,45,,273,No,High,Neutral,Daily Trainer,vomeroplus.jpg,https://www.sportsshoes.com/product/nik24570/nike-vomero-plus-men's-running-shoes---sp26
Mizuno,Wave Sky Rise 6,9,37.5,,260,No,Flat,Neutral,Daily Trainer,skyrise6.jpg,https://www.sportsshoes.com/product/miz6340/mizuno-wave-skyrise-6-men's-running-shoes---ss25
